appendices/appendix-l-langchain/section-l.1.html|0|NO CAPTION|PromptTemplate | ChatModel | OutputParser Result
appendices/appendix-l-langchain/section-l.2.html|0|NO CAPTION|User Input History Store (get_session_history) RunnableWith MessageHistory LCEL Chain Response
appendices/appendix-l-langchain/section-l.3.html|0|NO CAPTION|Chunk 1 Chunk 2 Chunk 3 Chunk 4 overlap overlap overlap Document text (left to right)
appendices/appendix-l-langchain/section-l.5.html|0|NO CAPTION|User Input LLM (decides action) Tool (execute) observation Final Answer (no more tools) tool call done
appendices/appendix-o-llamaindex/section-o.1.html|0|NO CAPTION|Data Sources (files, APIs, DBs) Connectors (Readers / Loaders) Documents (+ Transformations) TextNodes (in an Index)
appendices/appendix-o-llamaindex/section-o.2.html|0|NO CAPTION|VectorStoreIndex Embedding similarity Top-k retrieval SummaryIndex Sequential scan All nodes visited TreeIndex Hierarchical summaries Top-down traversal KeywordTableIndex Keyword extraction Exact term
part-1-foundations/module-00-ml-pytorch-foundations/section-0.1.html|0|Figure 0.1.2: Gradient descent follows the slope downhill, step by step. The learning rate controls step size.|Parameter value (w) Loss L(w) Start Local min Global min Step size = learning rate &times; gradient Too big: overshoot. Too small: slow.
part-1-foundations/module-00-ml-pytorch-foundations/section-0.1.html|1|Figure 0.1.4: As model complexity increases, bias decreases but variance increases. The optimal model minimizes total error.|Model Complexity &rarr; Error Bias&sup2; Variance Total Error Noise floor Optimal Underfitting Overfitting
part-1-foundations/module-00-ml-pytorch-foundations/section-0.4.html|0|Figure 0.4.4: How RL concepts map to LLM training with RLHF. The LLM is the policy, tokens are actions, and the reward model provides the training sig|User Prompt (Initial State s&#x2080;) LLM (Policy &#x3C0;) Generates tokens one at a time Complete Response (Sequence of actions) Reward Model Scores the response r PPO Optimizer Clipped policy update
part-1-foundations/module-01-foundations-nlp-text-representation/section-1.3.html|0|Figure 1.3.6: FastText subword decomposition. The word "running" is split into character n-grams, each mapped to a vector, and the vectors are summed |running split into n-grams &darr; &lt;ru run unn nni nin ing ng&gt; &rarr; &Sigma; &rarr; v("running") Final vector = sum of all n-gram vectors
part-1-foundations/module-02-tokenization-subword-models/section-2.2.html|0|Figure 2.2.5: Byte-level BPE starts with 256 byte tokens and merges them upward. Common multi-byte characters become single tokens after training.|Character: H i &#x4F60; &#x597D; UTF-8 bytes: 0x48 0x69 0xE4 0xBD 0xA0 0xE5 0xA5 0xBD 8 bytes total After merges: "Hi" (1 token) "&#x4F60;" (1 token) "&#x597D;" (1 token) 3 tokens BPE merges learn to 
part-1-foundations/module-03-sequence-models-attention/section-3.1.html|0|Figure 3.1.5: The LSTM cell. The cell state (green line at top) acts as a memory highway with only additive interactions, allowing gradients to flow a|Cell State c (the memory highway) Hidden State h (the output line) ct-1 ht-1 ct ht xt Forget &sigma; &times; ft Input &sigma; Candidate tanh + it &times; c&#x0303; Output &sigma; tanh(ct) &times; ot [
part-1-foundations/module-03-sequence-models-attention/section-3.1.html|1|Figure 3.1.6: The encoder-decoder (seq2seq) architecture. The entire source sentence must be compressed into a single fixed-length context vector, cre|ENCODER LSTM LSTM LSTM the cat sat ctx DECODER LSTM LSTM LSTM le chat assis Information Bottleneck!
part-1-foundations/module-03-sequence-models-attention/section-3.2.html|0|Figure 3.2.4: Gradient flow through attention. The direct path scales gradients by &alpha;j, giving highly-attended positions stronger learning signal|Loss L context = &Sigma;&alpha;h &alpha; = softmax(scores) h1 h2 h3 h4 direct path indirect path Line thickness = gradient magnitude (proportional to attention weight)
part-1-foundations/module-04-transformer-architecture/section-4.1.html|0|Figure 4.1.7: The residual stream perspective (Elhage et al., 2021). The Transformer's residual path acts as a shared communication channel. Each atte|xembed Output Attn 1 + FFN 1 + Attn 2 + FFN 2 + ... Each sub-layer reads from the stream and adds its contribution back. Attention layers read and write; FFN layers read and write. The stream carries 
part-1-foundations/module-05-decoding-text-generation/section-5.2.html|0|Figure 5.2.3: Top-p sampling adapts the number of candidate tokens to model confidence. When confident, few tokens suffice; when uncertain, the nucleu|Confident (peaked) Paris Lyon Rome ... 0.70 0.22 nucleus (p=0.9): 2 tokens Uncertain (flat) eat run play read swim ... 0.22 0.19 0.17 0.15 0.12 nucleus (p=0.9): 5 tokens
part-2-understanding-llms/module-06-pretraining-scaling-laws/section-6.3.html|0|Figure 6.3.6: The same underlying capability can appear emergent or smoothly scaling depending on the evaluation metric chosen.|Exact Match Accuracy Model Size (log scale) Performance Looks emergent! Log-Likelihood (Continuous) Model Size (log scale) Performance Smooth scaling
part-2-understanding-llms/module-06-pretraining-scaling-laws/section-6.3.html|1|Figure 6.3.7: An MoE layer with 6 experts and top-2 routing. The router assigns probabilities to all experts but only activates the 2 highest-scoring |Token hidden state x Router gating network top-2 of 6 Expert 1 w=0.62 (active) Expert 2 w=0.38 (active) Expert 3 skipped Expert 4 skipped Expert 5 skipped Expert 6 (skipped) Weighted Sum 0.62·E1 + 0.3
part-2-understanding-llms/module-06-pretraining-scaling-laws/section-6.5.html|0|Figure 6.5.3: In grokking, the model achieves perfect training accuracy early but takes many more steps to generalize, with a long validation plateau |Training Steps Accuracy 0% 100% Train Accuracy Val Accuracy Memorized Generalized! Long plateau
part-2-understanding-llms/module-06-pretraining-scaling-laws/section-6.8.html|0|Figure 6.8.1: Production LLM training architecture. Data flows from object storage through streaming loaders. Megatron-Core handles multi-axis paralle|Data Pipeline Object Storage (S3/GCS) Mosaic Streaming Deterministic Sharding Data Mixing/Curriculum Integrity Checks Training Framework Megatron-Core TP + PP + DP + CP torch.compile + Inductor FlashA
